"Título do Desenho: Porto Maceió_MAR_EIC"
"#","Data Hora, GMT-03:00","Pres. Abs., mbar (LGR S/N: 20204030, SEN S/N: 20204030)","Temp., °C (LGR S/N: 20204030, SEN S/N: 20204030)","Pres. Abs. Barom., mbar (LGR S/N: 20089330, SEN S/N: 20089330)","Profundidade do Sensor, metros (LGR S/N: 20204030)","Acoplador Desligado (LGR S/N: 20204030)","Acoplador Ligado (LGR S/N: 20204030)","Anfitrião Ligado (LGR S/N: 20204030)","Parado (LGR S/N: 20204030)","Fim Do Ficheiro (LGR S/N: 20204030)"
1,17/10/2018 11H30min0s,1277.3,26.292,1013.5,2.625,Registado,,,,
2,17/10/2018 11H31min0s,1277.1,26.292,1013.4,2.623,,,,,
3,17/10/2018 11H32min0s,1276.1,26.292,1013.4,2.614,,,,,
4,17/10/2018 11H33min0s,1274.3,26.292,1013.5,2.595,,,,,
5,17/10/2018 11H34min0s,1274.6,26.292,1013.3,2.600,,,,,
6,17/10/2018 11H35min0s,1275.1,26.292,1013.4,2.604,,,,,
7,17/10/2018 11H36min0s,1275.8,26.292,1013.4,2.611,,,,,
8,17/10/2018 11H37min0s,1275.3,26.292,1013.3,2.606,,,,,
9,17/10/2018 11H38min0s,1274.8,26.292,1013.2,2.603,,,,,
10,17/10/2018 11H39min0s,1274.6,26.292,1013.2,2.601,,,,,
11,17/10/2018 11H40min0s,1277.9,26.292,1013.2,2.634,,,,,
12,17/10/2018 11H41min0s,1276.3,26.292,1013.2,2.618,,,,,
13,17/10/2018 11H42min0s,1272.9,26.390,1013.2,2.583,,,,,
14,17/10/2018 11H43min0s,1271.7,26.390,1013.0,2.574,,,,,
15,17/10/2018 11H44min0s,1273.5,26.390,1013.2,2.590,,,,,
16,17/10/2018 11H45min0s,1275.7,26.390,1013.1,2.612,,,,,
17,17/10/2018 11H46min0s,1274.0,26.390,1013.2,2.595,,,,,
18,17/10/2018 11H47min0s,1277.2,26.390,1013.2,2.626,,,,,
19,17/10/2018 11H48min0s,1274.8,26.390,1013.2,2.603,,,,,
20,17/10/2018 11H49min0s,1275.2,26.390,1013.1,2.607,,,,,
21,17/10/2018 11H50min0s,1275.3,26.390,1013.1,2.609,,,,,
22,17/10/2018 11H51min0s,1274.8,26.390,1013.2,2.603,,,,,
23,17/10/2018 11H52min0s,1275.3,26.390,1013.0,2.609,,,,,
24,17/10/2018 11H53min0s,1273.7,26.390,1012.8,2.595,,,,,
25,17/10/2018 11H54min0s,1272.9,26.390,1013.0,2.585,,,,,
26,17/10/2018 11H55min0s,1273.7,26.390,1013.0,2.593,,,,,
27,17/10/2018 11H56min0s,1271.1,26.390,1013.0,2.567,,,,,
28,17/10/2018 11H57min0s,1268.9,26.390,1013.0,2.546,,,,,
29,17/10/2018 11H58min0s,1273.0,26.390,1012.9,2.588,,,,,
30,17/10/2018 11H59min0s,1273.2,26.488,1012.8,2.591,,,,,
31,17/10/2018 12H0min0s,1273.2,26.488,1012.7,2.592,,,,,
32,17/10/2018 12H1min0s,1270.8,26.488,1012.7,2.568,,,,,
33,17/10/2018 12H2min0s,1272.4,26.488,1012.6,2.585,,,,,
34,17/10/2018 12H3min0s,1273.9,26.488,1013.0,2.596,,,,,
35,17/10/2018 12H4min0s,1268.1,26.488,1012.6,2.542,,,,,
36,17/10/2018 12H5min0s,1272.2,26.488,1012.7,2.582,,,,,
37,17/10/2018 12H6min0s,1272.9,26.488,1012.6,2.589,,,,,
38,17/10/2018 12H7min0s,1272.7,26.488,1012.8,2.586,,,,,
39,17/10/2018 12H8min0s,1272.2,26.488,1012.6,2.583,,,,,
40,17/10/2018 12H9min0s,1272.2,26.488,1012.6,2.583,,,,,
41,17/10/2018 12H10min0s,1268.6,26.488,1012.6,2.547,,,,,
42,17/10/2018 12H11min0s,1271.8,26.488,1012.7,2.577,,,,,
43,17/10/2018 12H12min0s,1272.6,26.488,1012.7,2.586,,,,,
44,17/10/2018 12H13min0s,1269.0,26.488,1012.7,2.549,,,,,
45,17/10/2018 12H14min0s,1269.0,26.488,1012.5,2.551,,,,,
46,17/10/2018 12H15min0s,1270.3,26.488,1012.5,2.565,,,,,
47,17/10/2018 12H16min0s,1270.6,26.488,1012.3,2.570,,,,,
48,17/10/2018 12H17min0s,1269.3,26.488,1012.1,2.559,,,,,
49,17/10/2018 12H18min0s,1268.3,26.488,1012.5,2.545,,,,,
50,17/10/2018 12H19min0s,1267.8,26.488,1012.4,2.541,,,,,
51,17/10/2018 12H20min0s,1269.1,26.488,1012.5,2.553,,,,,
52,17/10/2018 12H21min0s,1265.8,26.488,1012.7,2.518,,,,,
53,17/10/2018 12H22min0s,1268.1,26.488,1012.5,2.543,,,,,
54,17/10/2018 12H23min0s,1267.3,26.390,1012.4,2.536,,,,,
55,17/10/2018 12H24min0s,1265.6,26.390,1012.5,2.518,,,,,
56,17/10/2018 12H25min0s,1267.1,26.390,1011.9,2.539,,,,,
57,17/10/2018 12H26min0s,1267.9,26.390,1012.4,2.543,,,,,
58,17/10/2018 12H27min0s,1265.9,26.390,1012.5,2.522,,,,,
59,17/10/2018 12H28min0s,1265.6,26.390,1012.4,2.520,,,,,
60,17/10/2018 12H29min0s,1267.4,26.390,1012.5,2.537,,,,,
61,17/10/2018 12H30min0s,1272.4,26.390,1012.4,2.587,,,,,
62,17/10/2018 12H31min0s,1268.4,26.390,1012.4,2.547,,,,,
63,17/10/2018 12H32min0s,1265.5,26.390,1012.5,2.517,,,,,
64,17/10/2018 12H33min0s,1268.7,26.390,1012.3,2.552,,,,,
65,17/10/2018 12H34min0s,1269.9,26.390,1012.4,2.562,,,,,
66,17/10/2018 12H35min0s,1268.1,26.390,1012.5,2.543,,,,,
67,17/10/2018 12H36min0s,1265.1,26.292,1012.5,2.513,,,,,
68,17/10/2018 12H37min0s,1266.2,26.292,1012.2,2.527,,,,,
69,17/10/2018 12H38min0s,1266.2,26.292,1012.4,2.525,,,,,
70,17/10/2018 12H39min0s,1265.4,26.292,1012.3,2.518,,,,,
71,17/10/2018 12H40min0s,1267.9,26.292,1012.2,2.544,,,,,
72,17/10/2018 12H41min0s,1264.4,26.292,1012.4,2.507,,,,,
73,17/10/2018 12H42min0s,1264.8,26.292,1012.4,2.510,,,,,
74,17/10/2018 12H43min0s,1266.4,26.292,1012.2,2.529,,,,,
75,17/10/2018 12H44min0s,1267.9,26.292,1012.3,2.543,,,,,
76,17/10/2018 12H45min0s,1267.4,26.292,1012.2,2.539,,,,,
77,17/10/2018 12H46min0s,1263.3,26.292,1012.3,2.497,,,,,
78,17/10/2018 12H47min0s,1260.3,26.195,1012.2,2.468,,,,,
79,17/10/2018 12H48min0s,1264.9,26.195,1012.1,2.515,,,,,
80,17/10/2018 12H49min0s,1267.2,26.195,1012.0,2.539,,,,,
81,17/10/2018 12H50min0s,1263.9,26.195,1012.0,2.506,,,,,
82,17/10/2018 12H51min0s,1262.9,26.195,1012.2,2.495,,,,,
83,17/10/2018 12H52min0s,1264.9,26.195,1011.9,2.516,,,,,
84,17/10/2018 12H53min0s,1262.4,26.195,1012.0,2.491,,,,,
85,17/10/2018 12H54min0s,1261.9,26.097,1012.0,2.486,,,,,
86,17/10/2018 12H55min0s,1259.6,26.097,1012.5,2.458,,,,,
87,17/10/2018 12H56min0s,1260.6,26.097,1012.3,2.470,,,,,
88,17/10/2018 12H57min0s,1261.4,26.097,1012.4,2.477,,,,,
89,17/10/2018 12H58min0s,1261.7,26.097,1012.3,2.481,,,,,
90,17/10/2018 12H59min0s,1262.4,26.097,1012.2,2.489,,,,,
91,17/10/2018 13H0min0s,1260.4,26.097,1012.1,2.470,,,,,
92,17/10/2018 13H1min0s,1264.7,26.097,1012.1,2.513,,,,,
93,17/10/2018 13H2min0s,1261.7,26.097,1012.0,2.484,,,,,
94,17/10/2018 13H3min0s,1262.0,26.097,1012.1,2.486,,,,,
95,17/10/2018 13H4min0s,1260.6,26.097,1011.9,2.474,,,,,
96,17/10/2018 13H5min0s,1258.3,26.097,1012.2,2.448,,,,,
97,17/10/2018 13H6min0s,1260.9,26.000,1012.1,2.475,,,,,
98,17/10/2018 13H7min0s,1259.9,26.097,1012.1,2.466,,,,,
99,17/10/2018 13H8min0s,1254.6,26.000,1012.0,2.414,,,,,
100,17/10/2018 13H9min0s,1259.9,26.000,1012.0,2.466,,,,,
101,17/10/2018 13H10min0s,1259.1,26.097,1012.0,2.459,,,,,
102,17/10/2018 13H11min0s,1257.4,26.097,1012.1,2.441,,,,,
103,17/10/2018 13H12min0s,1257.3,26.097,1011.9,2.442,,,,,
104,17/10/2018 13H13min0s,1259.1,26.097,1012.1,2.457,,,,,
105,17/10/2018 13H14min0s,1256.9,26.097,1012.2,2.435,,,,,
106,17/10/2018 13H15min0s,1256.1,26.097,1012.3,2.426,,,,,
107,17/10/2018 13H16min0s,1256.5,26.097,1012.1,2.431,,,,,
108,17/10/2018 13H17min0s,1259.6,26.195,1012.1,2.462,,,,,
109,17/10/2018 13H18min0s,1255.3,26.195,1012.0,2.421,,,,,
110,17/10/2018 13H19min0s,1253.4,26.195,1011.9,2.402,,,,,
111,17/10/2018 13H20min0s,1255.7,26.195,1012.1,2.423,,,,,
112,17/10/2018 13H21min0s,1255.7,26.195,1011.7,2.427,,,,,
113,17/10/2018 13H22min0s,1254.0,26.195,1011.8,2.409,,,,,
114,17/10/2018 13H23min0s,1255.7,26.292,1011.9,2.425,,,,,
115,17/10/2018 13H24min0s,1253.7,26.292,1012.0,2.405,,,,,
116,17/10/2018 13H25min0s,1253.9,26.292,1012.0,2.407,,,,,
117,17/10/2018 13H26min0s,1252.1,26.292,1012.0,2.389,,,,,
118,17/10/2018 13H27min0s,1253.2,26.292,1012.0,2.400,,,,,
119,17/10/2018 13H28min0s,1254.9,26.390,1012.0,2.417,,,,,
120,17/10/2018 13H29min0s,1252.3,26.390,1012.0,2.391,,,,,
121,17/10/2018 13H30min0s,1254.9,26.390,1012.0,2.417,,,,,
122,17/10/2018 13H31min0s,1252.9,26.390,1011.9,2.398,,,,,
123,17/10/2018 13H32min0s,1253.4,26.390,1011.9,2.403,,,,,
124,17/10/2018 13H33min0s,1253.3,26.488,1011.8,2.403,,,,,
125,17/10/2018 13H34min0s,1252.5,26.488,1011.8,2.394,,,,,
126,17/10/2018 13H35min0s,1250.2,26.488,1011.9,2.371,,,,,
127,17/10/2018 13H36min0s,1250.9,26.488,1011.7,2.379,,,,,
128,17/10/2018 13H37min0s,1252.0,26.488,1011.8,2.390,,,,,
129,17/10/2018 13H38min0s,1253.0,26.585,1011.9,2.399,,,,,
130,17/10/2018 13H39min0s,1252.2,26.585,1012.0,2.390,,,,,
131,17/10/2018 13H40min0s,1249.9,26.585,1011.7,2.369,,,,,
132,17/10/2018 13H41min0s,1251.9,26.585,1011.9,2.387,,,,,
133,17/10/2018 13H42min0s,1253.0,26.585,1011.7,2.400,,,,,
134,17/10/2018 13H43min0s,1249.1,26.585,1011.9,2.359,,,,,
135,17/10/2018 13H44min0s,1249.2,26.585,1011.8,2.362,,,,,
136,17/10/2018 13H45min0s,1251.9,26.585,1011.8,2.389,,,,,
137,17/10/2018 13H46min0s,1248.3,26.585,1011.7,2.354,,,,,
138,17/10/2018 13H47min0s,1246.9,26.585,1011.8,2.340,,,,,
139,17/10/2018 13H48min0s,1248.9,26.585,1011.8,2.359,,,,,
140,17/10/2018 13H49min0s,1251.5,26.585,1011.8,2.385,,,,,
141,17/10/2018 13H50min0s,1249.1,26.585,1011.8,2.361,,,,,
142,17/10/2018 13H51min0s,1250.1,26.683,1011.7,2.372,,,,,
143,17/10/2018 13H52min0s,1247.2,26.683,1011.7,2.343,,,,,
